"Job.Title","Job.Location","Company","Estimate.Base.Salary","Low.Estimate","High.Estimate","Company.Size","Company.Type","Company.Sector","Company.Founded","Company.Industry","Company.Revenue","Company.Rating","Company.Friend.Reccomendation","Company.CEO.Approval","Companny.Number.of.Rater","Company.Career.Opportinities","Compensation.and.Benefits","Company.Culture.and.Values","Company.Senior.Management","Company.Work.Life.Balance","State","python_yn","r_yn","sql_yn","java_yn","javascript_yn","git_yn","excel_yn","tableau_yn","mathematic_yn","statistic_yn","latitude","longitude"
"Customer Relations Manager","Melbourne","Scout Talent North America",61241,59000,64000,"51 to 200 Employees","Company - Private","Information Technology",1943,"Computer Hardware Development","$10 to $25 million (USD)",4.2,87,85,12,4.1,4,4.4,4.3,4.3,"Victoria",0,0,0,0,0,0,1,0,0,0,-37.8136,144.9631
"Graduate Technology Associate","Melbourne","Infosys",67439,53000,86000,"5001 to 10000 Employees","Company - Public","Information Technology",1981,"Information Technology Support Services","$10+ billion (USD)",3.8,79,88,19272,3.8,3,4,3.5,3.7,"Victoria",1,0,1,1,0,0,0,0,0,0,-37.8136,144.9631
"Customer Relations Manager","Melbourne","Scout Talent North America",61241,59000,64000,"51 to 200 Employees","Company - Private","Information Technology",1943,"Computer Hardware Development","$10 to $25 million (USD)",4.2,87,85,12,4.1,4,4.4,4.3,4.3,"Victoria",0,0,0,0,0,0,1,0,0,0,-37.8136,144.9631
"Graduate Research Fellow","Melbourne","CSIRO",89465,87000,92000,"5001 to 10000 Employees","Government","Government & Public Administration",1926,"National Services & Agencies","$500 million to $1 billion (USD)",3.8,68,58,145,3.4,3.4,3.5,3,4.1,"Victoria",1,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Researcher","Melbourne","Knox City Council",93341,89000,97000,"501 to 1000 Employees","Company - Public","Other",1943,"Other","Unknown / Non-Applicable",4,81,78,1,3.3,3.3,3.7,3.5,3.9,"Victoria",0,0,0,0,0,0,0,0,0,1,-37.8136,144.9631
"Research Assistant","Melbourne","Murdoch Childrens Research Institute",88625,80000,97000,"1001 to 5000 Employees","Non-profit Organisation","Non-profit & NGO",1943,"Civic, Welfare & Social Services","$50 to $100 million (USD)",4.2,72,78,0,3.9,3.8,4.2,3.5,3.5,"Victoria",1,1,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Technical Assistant","Melbourne","Baker Heart and Diabetes Institute",76750,74000,79000,"Unknown","Non-profit Organisation","Non-profit & NGO",1943,"Civic, Welfare & Social Services","Unknown / Non-Applicable",4.2,74,78,0,3.4,3.6,4,3.5,4,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Customer Relations Manager","Melbourne","Scout Talent North America",61241,59000,64000,"51 to 200 Employees","Company - Private","Information Technology",1943,"Computer Hardware Development","$10 to $25 million (USD)",4.2,87,85,12,4.1,4,4.4,4.3,4.3,"Victoria",0,0,0,0,0,0,1,0,0,0,-37.8136,144.9631
"Graduate Research Fellow","Melbourne","CSIRO",89465,87000,92000,"5001 to 10000 Employees","Government","Government & Public Administration",1926,"National Services & Agencies","$500 million to $1 billion (USD)",3.8,68,58,145,3.4,3.4,3.5,3,4.1,"Victoria",1,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Associate Systems Analyst","Melbourne","State Street Corporation",91490,76000,110000,"10000+ Employees","Company - Public","Finance",1792,"Investment & Asset Management","$10+ billion (USD)",3.4,63,75,1337,3.3,3.1,3.4,3.1,3.3,"Victoria",0,0,0,0,0,0,0,0,1,1,-37.8136,144.9631
"Data Scientist","Melbourne","Catch",121491,103000,144000,"1 to 50 Employees","Company - Private","Retail & Wholesale",1943,"Office Supply & Copy Stores","Unknown / Non-Applicable",3.9,78,78,2264,3.8,3.6,3.9,3.5,3.8,"Victoria",1,1,1,0,0,0,1,0,1,0,-37.8136,144.9631
"Graduate Research Fellow","Melbourne","CSIRO",89465,87000,92000,"5001 to 10000 Employees","Government","Government & Public Administration",1926,"National Services & Agencies","$500 million to $1 billion (USD)",3.8,68,58,145,3.4,3.4,3.5,3,4.1,"Victoria",1,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Research Assistant","Melbourne","La Trobe University",79286,77000,82000,"1001 to 5000 Employees","College / University","Education",1943,"Colleges & Universities","Unknown / Non-Applicable",3.7,56,61,33,3.3,3.4,3.4,3.3,3.8,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Data Engineer","Melbourne","Department of Environment, Land, Water and Planning",94868,75000,120000,"1001 to 5000 Employees","Government","Other",1943,"Other","Unknown / Non-Applicable",4.1,92,78,0,4,3.7,4,3.6,4.4,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Associate Systems Analyst","Melbourne","State Street Corporation",91490,76000,110000,"10000+ Employees","Company - Public","Finance",1792,"Investment & Asset Management","$10+ billion (USD)",3.4,63,75,1337,3.3,3.1,3.4,3.1,3.3,"Victoria",0,0,0,0,0,0,0,0,1,1,-37.8136,144.9631
"Geologist","Melbourne","Department of Jobs, Precincts and Regions",96130,90000,102000,"Unknown","Company - Private","Other",1943,"Other","Unknown / Non-Applicable",4.2,85,78,1,3.8,3.6,4,3.4,4.6,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"QC Analyst","Melbourne","Seqirus",109138,94000,126000,"1001 to 5000 Employees","Company - Public","Pharmaceutical & Biotechnology",2015,"Biotech & Pharmaceuticals","Less than $1 million (USD)",3.8,72,92,75,3.5,3.7,3.7,3.4,3.7,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Machine Learning Engineer","Melbourne","Deloitte",80000,80000,80000,"10000+ Employees","Company - Private","Finance",1850,"Accounting & Tax","$10+ billion (USD)",4,82,87,10725,4.1,3.6,4,3.7,3.2,"Victoria",0,0,0,0,0,0,1,0,0,0,-37.8136,144.9631
"Data Analyst","Melbourne","Openpay Group",104757,93000,118000,"201 to 500 Employees","Company - Public","Finance",2014,"Banking & Lending","Unknown / Non-Applicable",3.7,71,76,6,3.3,3.6,3.6,3.4,3.7,"Victoria",1,0,1,0,0,0,1,0,1,0,-37.8136,144.9631
"Music Teacher","Melbourne","Schools (Government)",94248,80000,111000,"Unknown","Government","Government & Public Administration",1943,"National Services & Agencies","Unknown / Non-Applicable",3.7,71,18,5,3.5,3.1,3.3,3.2,3.5,"Victoria",0,0,0,0,0,0,1,0,0,0,-37.8136,144.9631
"Business Analyst","Melbourne","Link Group",81289,69000,96000,"1001 to 5000 Employees","Company - Public","Management & Consulting",2005,"Research & Development","$500 million to $1 billion (USD)",3.2,59,69,84,3.1,2.8,3.2,3,3.3,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Elementary School Teacher","Melbourne","Schools (Government)",68031,64000,73000,"Unknown","Government","Government & Public Administration",1943,"National Services & Agencies","Unknown / Non-Applicable",3.7,71,18,5,3.5,3.1,3.3,3.2,3.5,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Reporting Analyst","Melbourne","Museum Victoria",76648,73000,81000,"Unknown","Non-profit Organisation","Arts, Entertainment & Recreation",1943,"Culture & Entertainment","Unknown / Non-Applicable",4.2,80,78,0,3.5,3.7,4.1,3.3,4.3,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Reporting Analyst","Melbourne","Museums Victoria",72751,73000,73000,"501 to 1000 Employees","Self-employed","Other",1943,"Other","Unknown / Non-Applicable",2,100,78,0,3,2,5,3,5,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Data Analyst","Melbourne","Finecast",84323,79000,90000,"10000+ Employees","Subsidiary or Business Segment","Media & Communication",2003,"Publishing","Unknown / Non-Applicable",3.9,79,79,328,3.8,3.3,3.8,3.6,3.4,"Victoria",1,0,1,0,0,0,1,1,0,1,-37.8136,144.9631
"Geologist","Melbourne","Department of Jobs, Precincts and Regions",96130,90000,102000,"Unknown","Company - Private","Other",1943,"Other","Unknown / Non-Applicable",4.2,85,78,1,3.8,3.6,4,3.4,4.6,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Research Assistant","Melbourne","University of Melbourne",90944,77000,105000,"5001 to 10000 Employees","College / University","Education",1853,"Colleges & Universities","$2 to $5 billion (USD)",4.3,89,78,129,3.6,4,4,3.5,4.2,"Victoria",0,0,0,0,0,0,0,0,0,1,-37.8136,144.9631
"Geologist","Melbourne","Department of Jobs, Precincts and Regions",96130,90000,102000,"Unknown","Company - Private","Other",1943,"Other","Unknown / Non-Applicable",4.2,85,78,1,3.8,3.6,4,3.4,4.6,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Music Teacher","Melbourne","Schools (Government)",94248,80000,111000,"Unknown","Government","Government & Public Administration",1943,"National Services & Agencies","Unknown / Non-Applicable",3.7,71,18,5,3.5,3.1,3.3,3.2,3.5,"Victoria",0,0,0,0,0,0,1,0,0,0,-37.8136,144.9631
"Data Scientist","Melbourne","Deloitte",89531,84000,95000,"10000+ Employees","Company - Private","Finance",1850,"Accounting & Tax","$10+ billion (USD)",4,82,87,10725,4.1,3.6,4,3.7,3.2,"Victoria",1,1,1,0,0,1,0,1,1,1,-37.8136,144.9631
"Risk Manager","Melbourne","Deloitte",90554,82000,100000,"10000+ Employees","Company - Private","Finance",1850,"Accounting & Tax","$10+ billion (USD)",4,82,87,10725,4.1,3.6,4,3.7,3.2,"Victoria",0,1,1,0,0,0,1,0,1,1,-37.8136,144.9631
"Elementary School Teacher","Melbourne","Schools (Government)",68031,64000,73000,"Unknown","Government","Government & Public Administration",1943,"National Services & Agencies","Unknown / Non-Applicable",3.7,71,18,5,3.5,3.1,3.3,3.2,3.5,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Machine Learning Engineer","Melbourne","KJR",85146,85000,85000,"51 to 200 Employees","Company - Private","Information Technology",1997,"Information Technology Support Services","Unknown / Non-Applicable",4.7,62,100,2,5,5,5,5,5,"Victoria",1,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Data Analyst","Melbourne","Equity Trustees",99499,90000,110000,"201 to 500 Employees","Company - Public","Other",1943,"Other","$50 to $100 million (USD)",3.7,62,78,0,3.2,3.3,3.2,3.5,3.6,"Victoria",0,0,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Data Analyst","Melbourne","Finecast",84323,79000,90000,"10000+ Employees","Subsidiary or Business Segment","Media & Communication",2003,"Publishing","Unknown / Non-Applicable",3.9,79,79,328,3.8,3.3,3.8,3.6,3.4,"Victoria",1,0,1,0,0,0,1,1,0,1,-37.8136,144.9631
"Data Analyst","Melbourne","TabCorp Holdings",91378,85000,99000,"1001 to 5000 Employees","Company - Public","Arts, Entertainment & Recreation",1943,"Gambling & Betting","$2 to $5 billion (USD)",3.3,55,70,1014,3.2,3.3,3.4,2.8,3.6,"Victoria",1,1,1,0,0,0,0,1,0,0,-37.8136,144.9631
"Research Assistant","Melbourne","University of Melbourne",90944,77000,105000,"5001 to 10000 Employees","College / University","Education",1853,"Colleges & Universities","$2 to $5 billion (USD)",4.3,89,78,129,3.6,4,4,3.5,4.2,"Victoria",0,0,0,0,0,0,1,0,0,0,-37.8136,144.9631
"Research Assistant","Melbourne","University of Melbourne",90944,77000,105000,"5001 to 10000 Employees","College / University","Education",1853,"Colleges & Universities","$2 to $5 billion (USD)",4.3,89,78,129,3.6,4,4,3.5,4.2,"Victoria",0,0,0,0,0,0,0,0,0,1,-37.8136,144.9631
"Technology Specialist","Melbourne","Deloitte",72153,64000,81000,"10000+ Employees","Company - Private","Finance",1850,"Accounting & Tax","$10+ billion (USD)",4,82,87,10725,4.1,3.6,4,3.7,3.2,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Clinical Research Assistant","Melbourne","Peter MacCallum Cancer Centre",79081,74000,84000,"1001 to 5000 Employees","Hospital","Healthcare",1943,"Healthcare Services & Hospitals","$100 to $500 million (USD)",4.2,87,42,17,3.5,3.3,3.7,3.3,3.5,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Geologist","Melbourne","Department of Jobs, Precincts and Regions",96130,90000,102000,"Unknown","Company - Private","Other",1943,"Other","Unknown / Non-Applicable",4.2,85,78,1,3.8,3.6,4,3.4,4.6,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Operations Manager","Melbourne","Environment Protection Authority",105303,82000,135000,"51 to 200 Employees","Government","Other",1943,"Other","Unknown / Non-Applicable",4.8,100,78,0,4.4,3.2,4.8,3.1,3.7,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"2023 STEM Graduate (multiple roles) (VPSG3.1)","Melbourne","Department of Transport",76648,73000,81000,"501 to 1000 Employees","Government","Other",1943,"Other","Unknown / Non-Applicable",5,100,78,0,5,5,5,3,5,"Victoria",0,0,0,0,0,0,0,0,1,0,-37.8136,144.9631
"Risk Manager","Melbourne","Deloitte",90554,82000,100000,"10000+ Employees","Company - Private","Finance",1850,"Accounting & Tax","$10+ billion (USD)",4,82,87,10725,4.1,3.6,4,3.7,3.2,"Victoria",0,1,1,0,0,0,1,0,1,1,-37.8136,144.9631
"Behavioural Specialist","Melbourne","Transport Accident Commission",114226,114000,114000,"501 to 1000 Employees","Government","Government & Public Administration",1986,"National Services & Agencies","$1 to $2 billion (USD)",4.3,88,78,0,4.4,4.3,4.5,4.1,4.8,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Data Specialist","Melbourne","Tata Consultancy Services (TCS)",105000,90000,120000,"10000+ Employees","Company - Public","Information Technology",1968,"Computer Hardware Development","$10+ billion (USD)",3.9,76,87,30783,3.7,3.1,4.1,3.3,3.9,"Victoria",0,0,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Program Officer","Melbourne","Eastern Health",85259,61000,119000,"5001 to 10000 Employees","Hospital","Other",1943,"Other","$500 million to $1 billion (USD)",3.8,81,100,1,3.5,3.1,3.3,2.8,3.3,"Victoria",0,0,0,0,0,0,1,0,0,0,-37.8136,144.9631
"Data Analyst","Melbourne","bp",108772,100000,118000,"5001 to 10000 Employees","Company - Public","Energy, Mining, Utilities",1908,"Energy & Utilities","$10+ billion (USD)",4,87,99,8,3.5,3.6,4,3.7,3.9,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Data Analyst","Melbourne","Attra",97980,96000,100000,"1001 to 5000 Employees","Company - Private","Information Technology",1995,"Information Technology Support Services","Unknown / Non-Applicable",3.8,76,83,21,3.7,3.6,3.7,3.5,3.5,"Victoria",1,1,1,0,0,0,1,1,0,1,-37.8136,144.9631
"Research Assistant","Melbourne","University of Melbourne",90944,77000,105000,"5001 to 10000 Employees","College / University","Education",1853,"Colleges & Universities","$2 to $5 billion (USD)",4.3,89,78,129,3.6,4,4,3.5,4.2,"Victoria",0,0,0,0,0,0,1,0,0,0,-37.8136,144.9631
"Research Assistant","Melbourne","Murdoch Childrens Research Institute",86768,80000,94000,"1001 to 5000 Employees","Non-profit Organisation","Non-profit & NGO",1943,"Civic, Welfare & Social Services","$50 to $100 million (USD)",4.2,72,78,0,3.9,3.8,4.2,3.5,3.5,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Associate Data Analyst","Melbourne","Environment Protection Authority",96021,80000,115000,"51 to 200 Employees","Government","Other",1943,"Other","Unknown / Non-Applicable",4.8,100,78,0,4.4,3.2,4.8,3.1,3.7,"Victoria",0,1,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Freelance Translator","Melbourne","IQVIA",76528,59000,100000,"10000+ Employees","Company - Public","Pharmaceutical & Biotechnology",2017,"Biotech & Pharmaceuticals","$10+ billion (USD)",4,82,83,3274,3.8,3.6,3.9,3.6,3.7,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Research Assistant","Melbourne","Alfred Health",59791,55000,65000,"5001 to 10000 Employees","Hospital","Healthcare",1871,"Healthcare Services & Hospitals","Unknown / Non-Applicable",4.2,93,77,28,4,3.6,4.1,4,4,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Data Specialist","Melbourne","JLL",70378,61000,81000,"10000+ Employees","Company - Public","Real Estate",1943,"Real Estate","$5 to $10 billion (USD)",4.1,85,86,1596,3.7,3.5,3.9,3.5,3.6,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Graduate Meteorologist","Melbourne","UM for BOM",57706,58000,58000,"1001 to 5000 Employees","Government","Government & Public Administration",1943,"National Services & Agencies","Unknown / Non-Applicable",3.6,73,78,0,3.2,3.4,3.5,2.7,4.3,"Victoria",0,0,0,0,0,0,0,0,1,0,-37.8136,144.9631
"Medical Laboratory Tech","Melbourne","Murdoch Childrens Research Institute",67264,61000,74000,"1001 to 5000 Employees","Non-profit Organisation","Non-profit & NGO",1943,"Civic, Welfare & Social Services","$50 to $100 million (USD)",4.2,72,78,0,3.9,3.8,4.2,3.5,3.5,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Program Officer","Melbourne","Eastern Health",85259,61000,119000,"5001 to 10000 Employees","Hospital","Other",1943,"Other","$500 million to $1 billion (USD)",3.8,81,100,1,3.5,3.1,3.3,2.8,3.3,"Victoria",0,0,0,0,0,0,1,0,0,0,-37.8136,144.9631
"Research Assistant","Melbourne","Murdoch Childrens Research Institute",88625,80000,97000,"1001 to 5000 Employees","Non-profit Organisation","Non-profit & NGO",1943,"Civic, Welfare & Social Services","$50 to $100 million (USD)",4.2,72,78,0,3.9,3.8,4.2,3.5,3.5,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Data Analyst","Melbourne","Attra",97980,96000,100000,"1001 to 5000 Employees","Company - Private","Information Technology",1995,"Information Technology Support Services","Unknown / Non-Applicable",3.8,76,83,21,3.7,3.6,3.7,3.5,3.5,"Victoria",1,1,1,0,0,0,1,1,0,1,-37.8136,144.9631
"Lead Quality Manager","Melbourne","Mercer",89443,80000,100000,"10000+ Employees","Subsidiary or Business Segment","Management & Consulting",1945,"Business Consulting","$2 to $5 billion (USD)",3.9,79,84,880,3.7,3.4,3.9,3.5,3.5,"Victoria",0,0,1,0,0,0,1,0,0,0,-37.8136,144.9631
"Data Scientist","Melbourne","ANZ Banking Group",115631,94000,143000,"10000+ Employees","Company - Public","Finance",1835,"Banking & Lending","Unknown / Non-Applicable",4.1,85,86,1596,3.9,3.7,4.1,3.7,4,"Victoria",1,1,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Data Scientist","Melbourne","ANZ Banking Group",115631,94000,143000,"10000+ Employees","Company - Public","Finance",1835,"Banking & Lending","Unknown / Non-Applicable",4.1,85,86,1596,3.9,3.7,4.1,3.7,4,"Victoria",1,1,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Analyst","Melbourne","ANZ Banking Group",95917,80000,115000,"10000+ Employees","Company - Public","Finance",1835,"Banking & Lending","Unknown / Non-Applicable",4.1,85,86,1596,3.9,3.7,4.1,3.7,4,"Victoria",0,0,0,0,0,0,0,0,1,0,-37.8136,144.9631
"Data Scientist","Melbourne","ANZ Banking Group",115631,94000,143000,"10000+ Employees","Company - Public","Finance",1835,"Banking & Lending","Unknown / Non-Applicable",4.1,85,86,1596,3.9,3.7,4.1,3.7,4,"Victoria",1,1,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Data Scientist","Melbourne","ANZ Banking Group",115631,94000,143000,"10000+ Employees","Company - Public","Finance",1835,"Banking & Lending","Unknown / Non-Applicable",4.1,85,86,1596,3.9,3.7,4.1,3.7,4,"Victoria",1,1,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Data Scientist","Melbourne","NAB - National Australia Bank",105936,84000,134000,"10000+ Employees","Company - Public","Finance",1943,"Banking & Lending","$10+ billion (USD)",3.8,80,83,588,3.8,3.5,3.8,3.4,3.9,"Victoria",0,1,1,0,0,0,0,1,1,1,-37.8136,144.9631
"Data Scientist","Melbourne","NAB - National Australia Bank",105936,84000,134000,"10000+ Employees","Company - Public","Finance",1943,"Banking & Lending","$10+ billion (USD)",3.8,80,83,588,3.8,3.5,3.8,3.4,3.9,"Victoria",0,1,1,0,0,0,0,1,1,1,-37.8136,144.9631
"Clinical Research Assistant","Melbourne","Alfred Health",62718,62000,63000,"5001 to 10000 Employees","Hospital","Healthcare",1871,"Healthcare Services & Hospitals","Unknown / Non-Applicable",4.2,93,77,28,4,3.6,4.1,4,4,"Victoria",0,0,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Data Scientist","Melbourne","Telstra",116663,95000,144000,"10000+ Employees","Company - Public","Telecommunications",1901,"Telecommunications Services","$10+ billion (USD)",3.9,79,79,1263,3.6,3.8,3.9,3.4,4.2,"Victoria",0,0,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Data Scientist","Melbourne","NAB - National Australia Bank",105936,84000,134000,"10000+ Employees","Company - Public","Finance",1943,"Banking & Lending","$10+ billion (USD)",3.8,80,83,588,3.8,3.5,3.8,3.4,3.9,"Victoria",0,1,1,0,0,0,0,1,1,1,-37.8136,144.9631
"Data Scientist","Melbourne","Telstra",116663,95000,144000,"10000+ Employees","Company - Public","Telecommunications",1901,"Telecommunications Services","$10+ billion (USD)",3.9,79,79,1263,3.6,3.8,3.9,3.4,4.2,"Victoria",0,0,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Graduate Technology Associate","Melbourne","Infosys",67439,53000,86000,"5001 to 10000 Employees","Company - Public","Information Technology",1981,"Information Technology Support Services","$10+ billion (USD)",3.8,79,88,19272,3.8,3,4,3.5,3.7,"Victoria",1,0,1,1,0,0,0,0,0,0,-37.8136,144.9631
"Data Scientist","Melbourne","Department of Transport",96130,90000,102000,"501 to 1000 Employees","Government","Other",1943,"Other","Unknown / Non-Applicable",5,100,78,0,5,5,5,3,5,"Victoria",1,1,1,0,0,0,0,0,0,0,-37.8136,144.9631
"Customer Relations Manager","Melbourne","Scout Talent North America",61241,59000,64000,"51 to 200 Employees","Company - Private","Information Technology",1943,"Computer Hardware Development","$10 to $25 million (USD)",4.2,87,85,12,4.1,4,4.4,4.3,4.3,"Victoria",0,0,0,0,0,0,1,0,0,0,-37.8136,144.9631
"Program Manager","Melbourne","Mauve Group",110000,90000,130000,"Unkown","Other","Other",1943,"Other","Unknown / Non-Applicable",3.9,78,78,2264,3.8,3.6,3.9,3.5,3.8,"Victoria",0,1,0,0,0,0,0,0,0,0,-37.8136,144.9631
"Customer Relations Manager","Melbourne","Scout Talent North America",61241,59000,64000,"51 to 200 Employees","Company - Private","Information Technology",1943,"Computer Hardware Development","$10 to $25 million (USD)",4.2,87,85,12,4.1,4,4.4,4.3,4.3,"Victoria",0,0,0,0,0,0,1,0,0,0,-37.8136,144.9631
